               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11533,            0.047614,            0.041818,           0.0011455,             0.02381,           0.0010179,          0.00020359,            0.072789,            0.039567,            0.027656,              0.0955,              0.0005,              0.0005
                   1,             0.10755,            0.049703,             0.04076,           0.0015424,            0.071429,           0.0053592,           0.0016629,            0.064574,             0.04077,            0.027119,            0.090078,           0.0010782,           0.0010782
                   2,            0.092533,            0.052908,            0.040626,           0.0061864,             0.47619,            0.034564,            0.010359,            0.056231,            0.042186,            0.026518,            0.084633,           0.0016327,           0.0016327
                   3,            0.083203,            0.057733,            0.039489,           0.0074769,             0.61905,            0.032308,           0.0078887,            0.050908,            0.042311,            0.025921,            0.079163,           0.0021634,           0.0021634
                   4,            0.077514,            0.063094,            0.037777,            0.077867,             0.19048,             0.10147,            0.030894,            0.047707,            0.041044,            0.025228,             0.07367,           0.0026703,           0.0026703
                   5,            0.072531,            0.061645,            0.035785,             0.15423,             0.24453,             0.14078,            0.041857,            0.045402,            0.039192,            0.024149,            0.068154,           0.0031535,           0.0031535
                   6,            0.068674,            0.057831,            0.035104,              0.2331,             0.40476,               0.248,            0.069173,            0.042049,            0.041066,            0.023157,            0.062613,           0.0036129,           0.0036129
                   7,            0.064724,            0.056362,            0.033756,             0.28961,             0.33333,              0.2523,            0.085504,            0.040328,            0.040749,            0.022238,            0.057049,           0.0040486,           0.0040486
                   8,            0.064853,             0.04804,            0.033064,             0.27372,               0.607,             0.38578,             0.13446,            0.040866,            0.040076,            0.021505,             0.05146,           0.0044605,           0.0044605
                   9,             0.06629,            0.040974,             0.03183,             0.19304,             0.57143,             0.33075,             0.12667,            0.038273,            0.036303,            0.021013,            0.045849,           0.0048486,           0.0048486
                  10,             0.06262,            0.043074,            0.030164,             0.20316,             0.66667,             0.26841,             0.10586,            0.044391,            0.031453,            0.021133,            0.040213,            0.005213,            0.005213
                  11,            0.063608,             0.04034,            0.029718,              0.2656,             0.69048,             0.39163,              0.1283,             0.04188,             0.02555,            0.019591,            0.034554,           0.0055536,           0.0055536
                  12,            0.061909,             0.04297,            0.027653,             0.24769,             0.52381,             0.29787,              0.1111,             0.04752,            0.022777,            0.018742,             0.02887,           0.0058705,           0.0058705
                  13,            0.064521,            0.044428,            0.026025,             0.56912,             0.57143,             0.64229,             0.29222,            0.032585,            0.021668,            0.017503,            0.023164,           0.0061636,           0.0061636
                  14,            0.059809,            0.035699,            0.024737,             0.19234,             0.71364,             0.25029,              0.1255,            0.049721,             0.02544,            0.017146,            0.017433,           0.0064329,           0.0064329
                  15,             0.06356,            0.032677,            0.024421,              0.1202,             0.61905,             0.14506,            0.050408,            0.047003,            0.020816,            0.015371,            0.011678,           0.0066785,           0.0066785
                  16,            0.062087,            0.034955,            0.021687,             0.43703,             0.69639,             0.68596,             0.26172,            0.033766,            0.019378,            0.014414,            0.006832,            0.006832,            0.006832
                  17,            0.055891,            0.037133,            0.020024,             0.48524,             0.71714,             0.65349,             0.25963,            0.033824,            0.018901,            0.012647,            0.006832,            0.006832,            0.006832
                  18,             0.05943,            0.034618,            0.018614,             0.37637,             0.74233,             0.60961,             0.24307,            0.049851,            0.022118,            0.011696,            0.006634,            0.006634,            0.006634
                  19,            0.054277,            0.032744,            0.016919,             0.45682,              0.7619,             0.65963,             0.23366,            0.044183,            0.020275,            0.010352,            0.006436,            0.006436,            0.006436
                  20,            0.057535,            0.033036,            0.015568,             0.60545,             0.84563,              0.8175,             0.46754,            0.029287,            0.017987,           0.0097022,            0.006238,            0.006238,            0.006238
                  21,            0.050484,            0.030042,             0.01544,             0.55832,             0.85714,             0.71974,             0.36478,            0.033073,             0.01819,           0.0085976,             0.00604,             0.00604,             0.00604
                  22,             0.05179,            0.030575,            0.014664,             0.78862,             0.75053,             0.85673,             0.43222,            0.033172,            0.018734,           0.0082529,            0.005842,            0.005842,            0.005842
                  23,            0.049792,            0.028717,            0.012549,             0.72309,             0.70096,             0.81771,             0.44286,            0.033366,            0.017747,            0.007651,            0.005644,            0.005644,            0.005644
                  24,            0.050767,            0.029406,            0.012954,             0.72559,             0.80857,             0.85012,             0.30693,             0.03387,            0.017355,           0.0077139,            0.005446,            0.005446,            0.005446
                  25,            0.046981,            0.030567,            0.011165,             0.84201,             0.86492,              0.9188,             0.44094,            0.025926,            0.016484,           0.0070977,            0.005248,            0.005248,            0.005248
                  26,            0.047163,            0.031633,            0.010494,             0.61175,             0.81453,             0.82259,             0.46946,            0.034867,            0.018026,           0.0068076,             0.00505,             0.00505,             0.00505
                  27,            0.045256,             0.02615,            0.012025,             0.70663,             0.83333,             0.89694,             0.50062,            0.027211,            0.016624,           0.0067989,            0.004852,            0.004852,            0.004852
                  28,            0.047502,            0.027869,            0.010298,             0.78806,              0.8444,             0.91204,             0.48635,            0.028473,            0.016059,           0.0071472,            0.004654,            0.004654,            0.004654
                  29,            0.040696,            0.025155,           0.0090643,             0.74437,              0.8376,             0.85974,             0.48943,            0.028193,            0.016004,           0.0067568,            0.004456,            0.004456,            0.004456
                  30,            0.041616,            0.026653,           0.0092639,             0.78633,             0.83333,             0.88004,              0.5194,            0.023543,            0.015392,           0.0062491,            0.004258,            0.004258,            0.004258
                  31,            0.040322,            0.028076,           0.0086505,             0.81808,             0.83344,             0.89888,             0.56657,            0.021151,            0.014962,           0.0058653,             0.00406,             0.00406,             0.00406
                  32,            0.038365,            0.023305,            0.007716,             0.72756,             0.81813,             0.82967,             0.44585,            0.025227,            0.015388,           0.0057633,            0.003862,            0.003862,            0.003862
                  33,            0.038564,            0.026594,           0.0082478,              0.9389,             0.85714,             0.92399,             0.47808,            0.025821,            0.015466,           0.0055521,            0.003664,            0.003664,            0.003664
                  34,            0.036147,            0.025805,           0.0076714,             0.83952,             0.93872,             0.93242,             0.61477,            0.020739,            0.014443,           0.0053996,            0.003466,            0.003466,            0.003466
                  35,            0.033924,            0.022957,           0.0074324,             0.85797,              0.9465,             0.94794,             0.68031,            0.018081,            0.014302,           0.0053118,            0.003268,            0.003268,            0.003268
                  36,            0.036616,            0.023588,           0.0078624,             0.93213,             0.88554,             0.93298,              0.5763,            0.022772,            0.015084,           0.0052815,             0.00307,             0.00307,             0.00307
                  37,             0.03322,             0.02501,           0.0057529,             0.83704,              0.8932,             0.90395,             0.62717,            0.021174,            0.014738,           0.0051569,            0.002872,            0.002872,            0.002872
                  38,            0.035244,            0.026237,            0.007003,             0.93999,             0.95238,             0.95769,             0.67615,            0.017365,            0.014048,           0.0051321,            0.002674,            0.002674,            0.002674
                  39,            0.033036,             0.02435,           0.0068369,             0.97155,             0.94834,             0.96067,             0.64075,            0.018007,            0.014016,           0.0049843,            0.002476,            0.002476,            0.002476
                  40,            0.032928,            0.023758,           0.0074395,             0.94355,             0.95238,             0.95746,             0.71118,            0.017245,            0.013903,           0.0048906,            0.002278,            0.002278,            0.002278
                  41,            0.030558,            0.023631,           0.0068257,             0.94794,             0.95238,             0.95962,             0.71243,            0.017062,            0.013797,           0.0047958,             0.00208,             0.00208,             0.00208
                  42,            0.029015,             0.02356,           0.0056492,             0.97138,             0.95615,             0.96496,              0.7144,            0.015399,            0.013469,           0.0047624,            0.001882,            0.001882,            0.001882
                  43,            0.028852,            0.025895,           0.0062746,             0.97162,             0.95599,             0.96472,             0.65504,            0.017102,            0.013609,           0.0047561,            0.001684,            0.001684,            0.001684
                  44,            0.027914,             0.02353,           0.0052518,             0.96918,             0.95731,             0.96472,             0.74177,            0.013995,            0.013132,           0.0047345,            0.001486,            0.001486,            0.001486
                  45,            0.027317,            0.024422,           0.0054513,             0.96742,             0.95739,             0.96522,             0.73595,            0.014826,            0.013335,           0.0047016,            0.001288,            0.001288,            0.001288
                  46,            0.028012,            0.022265,           0.0051721,             0.96664,             0.95774,             0.96705,             0.73609,             0.01468,            0.013292,           0.0046834,             0.00109,             0.00109,             0.00109
                  47,            0.026082,            0.021025,           0.0051393,             0.96845,             0.95751,             0.96652,             0.75428,            0.013687,            0.013038,           0.0046711,            0.000892,            0.000892,            0.000892
                  48,            0.027013,            0.022785,           0.0054489,             0.96959,             0.95757,             0.96496,             0.73966,            0.014289,            0.013119,           0.0046805,            0.000694,            0.000694,            0.000694
                  49,            0.026407,            0.023357,            0.006716,              0.9696,             0.95695,             0.96496,             0.74997,            0.013773,             0.01301,           0.0046615,            0.000496,            0.000496,            0.000496
